,,,role,target,hate_speech,verbal_abusehumor,
[2:34:16 PM], <Emilie-Harceleur>, Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,bully,victim,yes,denigration,no
[2:35:10 PM], <Julie-Victime>, allo mme est homophobe,victim,none,no,none,no
[2:36:50 PM], <Emilie-Harceleur>, mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous étent lesbiennes sa dégouteeee,bully,victim,yes,denigration,no
[2:37:56 PM], <Julie-Victime>," on est pas ensemble déjà puis même si c'était le cas,  ça ne te regarde pas et je vois pas en quoi ça te concerne",victim,none,no,none,no
[2:38:49 PM], <Anna-Soutien-Harceleur>, mais grave bande de lesbiennes vous degoutée aaaaah,bully_support,victim,yes,denigration,no
[2:39:43 PM], <Emilie-Harceleur>, mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit ,bully,victim,yes,denigration,no
[2:39:54 PM], <Marie-Soutien-Victime>, laissé la tranquille elle n'est pas avec elle elle vous a dit ,victim_support,none,no,none,no
[2:40:16 PM], <Anna-Soutien-Harceleur>, mais assumer vous degouter bande de crasseuse,bully_support,victim,yes,denigration,no
[2:40:17 PM], <Emilie-Harceleur>, mais ya eu des photos pk elle mito ,bully,none,no,none,no
[2:40:24 PM], <Anna-Soutien-Harceleur>, grave on a tous vu,bully_support,none,no,none,no
[2:40:28 PM], <Emilie-Harceleur>, grosse crasseuse ,bully,victim,yes,name_calling,no
[2:40:41 PM], <Anna-Soutien-Harceleur>, grave abuser vous me degoutez,bully_support,none,no,denigration,no
[2:40:57 PM], <Julie-Victime>, putain mais laissez nous tranquille jvous dis qu'on est pas ensemble point,victim,none,no,none,no
[2:41:09 PM], <Anna-Soutien-Harceleur>, mais assume grosse pute,bully_support,victim,yes,name_calling,no
[2:41:17 PM], <Emilie-Harceleur>, wshhh elodie dit leur on a vu leur sal photo ,bully,none,no,none,no
[2:41:44 PM], <Julie-Victime>," tu m'étonnes que vous l'avez vue,  c'est vous qu'il l'avez prises connasses",victim,bully/bully_support,yes,name_calling,no
[2:42:02 PM], <Anna-Soutien-Harceleur>, ftg grosse salope,bully_support,victim,yes,name_calling,no
[2:42:25 PM], <Julie-Victime>, tu sais dire d'autres choses à part ça ?,victim,none,no,none,no
[2:42:48 PM], <Elodie-Soutien-Harceleur>, anna bebe t ou,bully_support,none,no,none,no
[2:42:49 PM], <Anna-Soutien-Harceleur>, questuveux toi ferme la ,bully_support,victim,yes,name_calling,no
[2:42:52 PM], <Marie-Soutien-Victime>, ça se fait pas en plus de prendre en photos ,victim_support,none,no,none,no
[2:43:07 PM], <Elodie-Soutien-Harceleur>, mais cest des gouines ,bully_support,victim,yes,denigration,no
[2:43:19 PM], <Emilie-Harceleur>, et toi tu sais que la vie c'est homme femme pas femme femme salope,bully,victim,yes,blaming,no
[2:43:35 PM], <Julie-Victime>," on est pas gouines,  je lui tenais la main pour la réconforter y a quoi ? laissez-nous vivre",victim,none,no,none,no
[2:43:46 PM], <Anna-Soutien-Harceleur>, assume c pas compliquer,bully_support,none,no,none,no
[2:43:48 PM], <Elodie-Soutien-Harceleur>, bande de gouines,bully_support,victim,yes,name_calling,no
[2:43:54 PM], <Emilie-Harceleur>, la réconforter et lka galoche après,bully,none,no,none,no
[2:43:55 PM], <Anna-Soutien-Harceleur>, bande de crasseuse,bully_support,victim,yes,name_calling,no
[2:43:55 PM], <Elodie-Soutien-Harceleur>, taimes lesfilles,bully_support,none,no,none,no
[2:43:59 PM], <Julie-Victime>," y'a rien à assumer,  puisqu'y a r",victim,none,no,none,no
[2:44:00 PM], <Elodie-Soutien-Harceleur>, burk sa me degoute,bully_support,none,no,denigration,no
[2:44:08 PM], <Julie-Victime>, mellez-vous de votre cul,victim,none,no,none,no
[2:44:09 PM], <Anna-Soutien-Harceleur>, assume que t'aime les filles c tout connasse,bully_support,victim,yes,name_calling,no
[2:44:13 PM], <Marie-Soutien-Victime>, elle etait juste en train de la rassurer cest rien ,victim_support,none,no,none,no
[2:44:17 PM], <Elodie-Soutien-Harceleur>, cul de crasseuse,bully_support,victim,yes,name_calling,no
[2:44:20 PM], <Anna-Soutien-Harceleur>, on fait ce qu'on veut grosse chienne,bully_support,victim,yes,name_calling,no
[2:44:36 PM], <Julie-Victime>, tg saloppe,victim,bully_support,yes,name_calling,no
[2:44:43 PM], <Elodie-Soutien-Harceleur>, maria tg,bully_support,victim_support,yes,name_calling,no
[2:44:50 PM], <Anna-Soutien-Harceleur>, grosse pute va,bully_support,victim,yes,name_calling,no
[2:44:55 PM], <Elodie-Soutien-Harceleur>, saloperie,bully_support,victim,yes,name_calling,no
[2:45:10 PM], <Anna-Soutien-Harceleur>, on dit que la vérité grosse pute,bully_support,victim,yes,name_calling,no
[2:45:12 PM], <Elodie-Soutien-Harceleur>, chienne que tes ont aimes pas les lesbienne ici,bully_support,victim,yes,denigration,no
[2:45:13 PM], <Emilie-Harceleur>, bref venais on les vire de la classe c'est grosse crasseuse ,bully,victim,yes,name_calling,no
[2:45:23 PM], <Elodie-Soutien-Harceleur>, qui les supp du groupe la,bully_support,none,no,none,no
[2:45:38 PM], <Anna-Soutien-Harceleur>, je vais les supprimer,bully_support,none,no,none,no
[2:45:38 PM], <Elodie-Soutien-Harceleur>, on veut pas de sa ici,bully_support,none,no,none,no
[2:45:45 PM], <Anna-Soutien-Harceleur>, grave pas de crasseuse,bully_support,victim,yes,name_calling,no
[2:45:47 PM], <Elodie-Soutien-Harceleur>, enfiiin,bully_support,none,no,none,no
[2:45:53 PM], <Anna-Soutien-Harceleur>, me degoute,bully_support,none,no,none,no
[2:45:56 PM], <Elodie-Soutien-Harceleur>, burk bande de chienne,bully_support,victim,yes,name_calling,no
[2:46:02 PM], <Arthur-Conciliateur>, c'est bon chacun fait ce qu'il veut aucune d'entre vous n'aimerait faire faire insulter alors pourquoi vous continuer,conciliator,none,no,none,no
[2:46:10 PM], <Julie-Victime>, ça se voit vous êtes pas des potes si ça vous est jamais de réconforter votre pote,victim,none,no,none,no
[2:46:18 PM], <Elodie-Soutien-Harceleur>, on sen blkkkkk mais fort,bully_support,none,no,none,no
[2:46:30 PM], <Anna-Soutien-Harceleur>, mais ftg,bully_support,victim,yes,name_calling,no
[2:46:37 PM], <Julie-Victime>, bah alors tais-toi et laisse-nous vivre,victim,none,no,none,no
[2:46:37 PM], <Anna-Soutien-Harceleur>, assume que t gouine c tout grosse pute va,bully_support,victim,yes,name_calling,no
[2:46:46 PM], <Elodie-Soutien-Harceleur>, faut assumer frr,bully_support,none,no,none,no
[2:46:46 PM], <Emilie-Harceleur>, mais c'est pas notre pote  deja,bully,none,no,none,no
[2:46:56 PM], <Anna-Soutien-Harceleur>, lvdm assume saliope,bully_support,victim,yes,name_calling,no
[2:46:57 PM], <Julie-Victime>, c'est quoi le rapport entre être gouine et être une pute ?,victim,none,no,none,no
[2:46:57 PM], <Anna-Soutien-Harceleur>, salope,bully_support,none,no,none,no
[2:47:05 PM], <Elodie-Soutien-Harceleur>, pute et gouine cla meme,bully_support,none,no,none,no
[2:47:05 PM], <Julie-Victime>, ça te dérange si c'était le cas ?,victim,none,no,none,no
[2:47:08 PM], <Anna-Soutien-Harceleur>, ftg,bully_support,victim,yes,name_calling,no
[2:47:08 PM], <Elodie-Soutien-Harceleur>, oui les garcons avec les filles pas filleet fille c degeulasse,bully_support,none,no,none,no
[2:47:24 PM], <Anna-Soutien-Harceleur>, grave vous me degouter,bully_support,none,no,denigration,no
[2:47:37 PM], <Julie-Victime>, t'as un problème va te faire soigner sale homophobe,victim,none,no,none,no
[2:47:42 PM], <Emilie-Harceleur>, exactement stv on te fait un cour crasseuse,bully,victim,yes,name_calling,no
[2:47:53 PM], <Anna-Soutien-Harceleur>, c toi ta un problème grosse pute,bully_support,victim,yes,name_calling,no
[2:47:53 PM], <Arthur-Conciliateur>, mais calmez-vous chaqu'un s'est préférence,conciliator,none,no,none,no
[2:47:57 PM], <Elodie-Soutien-Harceleur>, ftg c toi la gouine tu parle avec nous sombre pute wallah t ki,bully_support,victim,yes,name_calling,no
[2:48:22 PM], <Emilie-Harceleur>, on va dire a un gadjo de la violer sa va lui remettre les idée en place,bully,none,yes,threat,no
[2:48:30 PM], <Elodie-Soutien-Harceleur>, graaave,bully_support,none,no,none,no
[2:48:33 PM], <Anna-Soutien-Harceleur>, mais grave wlh,bully_support,none,no,none,no
[2:48:46 PM], <Elodie-Soutien-Harceleur>, elles vont voir ce que c de ce faire peter le q,bully_support,none,no,threat,no
[2:48:47 PM], <Anna-Soutien-Harceleur>, bande de pute va mais grave elle vont voir,bully_support,none,no,threat,no
[2:49:04 PM], <Julie-Victime>, mais t'es une grande malade toi,victim,none,no,none,no
[2:49:06 PM], <Elodie-Soutien-Harceleur>, un zizi pas de chatte ,bully_support,none,no,none,no
[2:49:11 PM], <Julie-Victime>, t'as des problèmes pour dire des choses pareil,victim,none,no,none,no
[2:49:14 PM], <Anna-Soutien-Harceleur>, :') :') :') :') :') :') ,bully_support,none,no,none,no
[2:49:17 PM], <Julie-Victime>, tu te rends compte de ce que tu dis là ??,victim,none,no,none,no
[2:49:25 PM], <Elodie-Soutien-Harceleur>, je rigole roh,bully_support,none,no,none,no
[2:49:26 PM], <Anna-Soutien-Harceleur>, ftg tu vas kiffer,bully_support,victim,yes,name_calling,no
[2:49:30 PM], <Elodie-Soutien-Harceleur>, un peu d'humour,bully_support,none,no,none,no
[2:49:35 PM], <Emilie-Harceleur>, ptdrrr grvvv et arthur ta channgé jte croyais pas comme sa quoi toiausssi tai pd,bully,conciliator,yes,name_calling,no
[2:49:41 PM], <Arthur-Conciliateur>," mais arréter c'est exessif la vous aimeriez etre a sa place et qu'on vous dises la meme chose ?! Non,  parce que personne ne mérite ca ",conciliator,none,no,none,no
[2:49:44 PM], <Elodie-Soutien-Harceleur>, ouais arthur xsh t sah,bully_support,none,no,none,no
[2:49:50 PM], <Anna-Soutien-Harceleur>, mais grave putain c chaud,bully_support,none,no,none,no
[2:49:53 PM], <Julie-Victime>," allo le viol c'est pas une blague grosse bouffonne,  va falloir avoir des valeurs un peu là un minimum",victim,bully,yes,name_calling,no
[2:49:54 PM], <Marie-Soutien-Victime>, laissé la tranquille elle a le droit d'aimer qui elle veut ,victim_support,none,no,none,no
[2:49:59 PM], <Elodie-Soutien-Harceleur>, c une blague les gens qui retournent leur veste la tous des hypocrites la,bully_support,none,no,none,no
[2:50:13 PM], <Anna-Soutien-Harceleur>, mais grave que des traitres,bully_support,none,no,none,no
[2:50:28 PM], <Elodie-Soutien-Harceleur>, on est pas de fucking monde,bully_support,none,no,none,no
[2:50:33 PM], <Julie-Victime>," si vous ne disiez pas n'importe quoi aussi,  les gens seraient peut-êtr eun peu avec vous",victim,none,no,none,no
[2:50:36 PM], <Anna-Soutien-Harceleur>, ptddddrrrrrrr mais la blague,bully_support,none,no,none,no
[2:50:44 PM], <Elodie-Soutien-Harceleur>, rien a foutre PAS DE GOUINE ICI,bully_support,victim,yes,name_calling,no
[2:50:52 PM], <Emilie-Harceleur>, bande de crasseux meme arthur on va te degager de la classe ,bully,victim/conciliator,yes,name_calling,no
[2:50:55 PM], <Julie-Victime>," mais vous allez trop loin,  vous dites n'importes quoi alors vous méritez les deux connasses",victim,bully/bully_support,yes,name_calling,no
[2:51:02 PM], <Anna-Soutien-Harceleur>, on va pas de sa iciiiii merde,bully_support,none,yes,none,no
[2:51:03 PM], <Emilie-Harceleur>, STOP LESBIENNES !!!!,bully,none,yes,none,no
[2:51:10 PM], <Anna-Soutien-Harceleur>, DEHORSSSSS,bully_support,none,yes,none,no
[2:51:21 PM], <Emilie-Harceleur>, tchaoooooo,bully,none,no,none,no
[2:51:21 PM], <Julie-Victime>, allez-y dégagez nous vous allez faire quoi ?,victim,none,no,none,no
[2:51:23 PM], <Elodie-Soutien-Harceleur>, stop reviens bb,bully_support,none,no,none,no
[2:51:30 PM], <Julie-Victime>, c'est les homophobes qu'on dégage pas nous,victim,none,no,none,no
[2:51:34 PM], <Elodie-Soutien-Harceleur>, GRAVE jsuis daccord,bully_support,none,no,none,no
