,,,role,target,hate_speech,verbal_abusehumor,
[2:39:30 PM], <Zoé-Victime>, pourquoi vous avez diffusé des photos de moi ?,victim,bully/bully_support,no,none,no
[2:39:33 PM], <Natacha-Soutien-Harceleur>, bande de conne,bully_support,victim/victim_support,yes,name_calling,no
[2:39:59 PM], <Marjorie-Harceleur>, salope ! tu t vu ?,bully,victim,yes,name_calling,no
[2:39:59 PM], <Zoé-Victime>, marjorie et lucie ? je me suis vu de quoi?,victim,bully/bully,no,none,no
[2:40:24 PM], <Lucie-Harceleur>, quoi sale grosse,bully,victim,yes,degradation,no
[2:40:30 PM], <Natacha-Soutien-Harceleur>, serieux tu t'es vue pétasse,bully_support,victim,yes,name_calling,no
[2:40:32 PM], <Marjorie-Harceleur>, tu ressemble a mon anus,bully,victim,yes,degradation,no
[2:40:49 PM], <Zoé-Victime>, je t ai fait quoi pour que tu dises ça,victim,bully,no,none,no
[2:40:53 PM], <Natacha-Soutien-Harceleur>, :') :') :') :') ,bully,none,no,none,no
[2:41:30 PM], <Lucie-Harceleur>, frère t'es là tu fais la lèche avec les profs,bully,victim,no,blaming,no
[2:41:55 PM], <Soan-Soutien-Victime>, arreté bande de conne vous avez cas travaillé ,victim_support,bully/bully_support,yes,name_calling,no
[2:41:59 PM], <Natacha-Soutien-Harceleur>, espece de hassa boulette,bully_support,victim,yes,degradation,no
[2:42:07 PM], <Marjorie-Harceleur>, t grosse tu bouffe que des macdo,bully,victim,yes,degradation,no
[2:42:12 PM], <Soan-Soutien-Victime>, laissé la tranquille elle vous a rien fais,victim_support,bully/bully_support,no,none,no
[2:42:19 PM], <Natacha-Soutien-Harceleur>, toi ta gueule,bully,victim_support,yes,name_calling,no
[2:42:22 PM], <Lucie-Harceleur>, et  elle elle a qu'a maigrir,bully,victim,yes,blaming,no
[2:42:27 PM], <Natacha-Soutien-Harceleur>, tu commence a m'enerver,bully_support,victim,no,none,no
[2:42:43 PM], <Zoé-Victime>, tu sais pas ma vie,victim,bully,no,none,no
[2:42:51 PM], <Axelle-Soutien-Victime>, vous etes nul en cours et vous vous defoulez sur une meuf bcp mieux que vous ,victim_support,bully/bully_support,no,degradation,no
