,Unnamed: 0,Unnamed: 1,text,role,target,hate_speech,verbal_abuse,humor
0,[2:39:30 PM], <Zoé-Victime>, pourquoi vous avez diffusé des photos de moi ?,victim,none,no,none,no
1,[2:39:33 PM], <Natacha-Soutien-Harceleur>, bande de conne,bully_support,victim/victim_support,no,name_calling,no
2,[2:39:59 PM], <Marjorie-Harceleur>, salope ! tu t vu ?,bully,victim,no,denigration,no
3,[2:39:59 PM], <Zoé-Victime>, marjorie et lucie ? je me suis vu de quoi?,victim,none,no,none,no
4,[2:40:24 PM], <Lucie-Harceleur>, quoi sale grosse,bully,victim,no,denigration,no
5,[2:40:30 PM], <Natacha-Soutien-Harceleur>, serieux tu t'es vue pétasse,bully_support,victim,no,name_calling,no
6,[2:40:32 PM], <Marjorie-Harceleur>, tu ressemble a mon anus,bully,victim,no,denigration,no
7,[2:40:49 PM], <Zoé-Victime>, je t ai fait quoi pour que tu dises ça,victim,none,no,none,no
8,[2:40:53 PM], <Natacha-Soutien-Harceleur>, :') :') :') :') ,bully_support,none,no,none,no
9,[2:41:30 PM], <Lucie-Harceleur>, frère t'es là tu fais la lèche avec les profs,bully,victim,no,denigration,no
10,[2:41:55 PM], <Soan-Soutien-Victime>, arreté bande de conne vous avez cas travaillé ,victim_support,bully/bully_support,no,name_calling,no
11,[2:41:59 PM], <Natacha-Soutien-Harceleur>, espece de hassa boulette,bully_support,victim,no,name_calling,no
12,[2:42:07 PM], <Marjorie-Harceleur>, t grosse tu bouffe que des macdo,bully,victim,no,denigration,no
13,[2:42:12 PM], <Soan-Soutien-Victime>, laissé la tranquille elle vous a rien fais,victim_support,none,no,none,no
14,[2:42:19 PM], <Natacha-Soutien-Harceleur>, toi ta gueule,bully_support,victim_support,no,aggression-other,no
15,[2:42:22 PM], <Lucie-Harceleur>, et  elle elle a qu'a maigrir,bully,victim,no,blaming,no
16,[2:42:27 PM], <Natacha-Soutien-Harceleur>, tu commence a m'enerver,bully_support,none,no,none,no
17,[2:42:43 PM], <Zoé-Victime>, tu sais pas ma vie,victim,none,no,none,no
18,[2:42:51 PM], <Axelle-Soutien-Victime>, vous etes nul en cours et vous vous defoulez sur une meuf bcp mieux que vous ,victim_support,bully/bully_support,no,denigration,no
19,[2:43:13 PM], <Zoé-Victime>, merci axelle,victim,none,no,none,no
20,[2:43:14 PM], <Natacha-Soutien-Harceleur>, ptdrrr alors si une grosse boule,bully_support,victim,no,denigration,yes
21,[2:43:25 PM], <Soan-Soutien-Victime>, ben peutetre quelle a des probleme de santé et  alors ta pas a la traite comme sa,victim_support,none,no,none,no
22,[2:43:26 PM], <Natacha-Soutien-Harceleur>, et mieux que nous crée ma tombe,bully_support,none,no,none,no
23,[2:43:27 PM], <Marjorie-Harceleur>, tt a fait tu as qua maigrir,bully,victim,no,blaming,no
24,[2:43:27 PM], <Zoé-Victime>, je te roule dessus natacha,victim,bully_support,no,threat,yes
25,[2:43:29 PM], <Natacha-Soutien-Harceleur>, svpppp!!!!,bully_support,none,no,none,no
26,[2:43:35 PM], <Lucie-Harceleur>, euuuuh y a pas mieux que nous en fait,bully,none,no,none,no
27,[2:44:06 PM], <Zoé-Victime>, pfff vous faites trop les meufs,victim,none,no,none,no
28,[2:44:11 PM], <Soan-Soutien-Victime>, mais ferme la ta  vu ta gueule,victim_support,bully,no,denigration,no
29,[2:44:14 PM], <Marjorie-Harceleur>, tufait ta victime tu sais pas te defendre seul ,bully,victim,no,denigration,no
30,[2:44:16 PM], <Lucie-Harceleur>, natacha elle va mourir si tu lui roulle dessus t'as t'es 3 ptit klebs,bully,victim,no,denigration,yes
31,[2:44:55 PM], <Natacha-Soutien-Harceleur>, :') :') :') :') :') ,bully_support,none,no,none,no
32,[2:45:01 PM], <Soan-Soutien-Victime>," Ne les écoutes pas Zoé,  le physique ne compte pas tu es très bien comme tu es. Le principale c'est que tu te sentes bien dans ton coeur",victim_support,none,no,none,no
33,[2:45:02 PM], <Natacha-Soutien-Harceleur>, sa y est jsuis morte deja,bully_support,none,no,none,no
34,[2:45:30 PM], <Zoé-Victime>, merci de me dire ça,victim,none,no,none,no
35,[2:45:30 PM], <Marjorie-Harceleur>, tant mieu,bully,none,no,none,no
36,[2:45:34 PM], <Soan-Soutien-Victime>," Elles sont juste immature de faire ca,  preuve que c'est des gamines",victim_support,bully/bully_support,no,denigration,no
37,[2:45:49 PM], <Marjorie-Harceleur>, tg elisa,bully,victim,no,aggression-other,no
38,[2:45:54 PM], <Soan-Soutien-Victime>, zoé tu vaux mieux que sa ,victim_support,none,no,none,no
39,[2:46:00 PM], <Natacha-Soutien-Harceleur>, c elle qui est venue nous dm donc on lui dit ce quon pense merdeee,bully_support,victim,no,blaming,no
40,[2:46:15 PM], <Zoé-Victime>, bah normal vous avez envoyé des photos a tout le monde je prends pas des photos de vous dans les vestiaires moi,victim,none,no,none,no
41,[2:46:38 PM], <Soan-Soutien-Victime>, elle au moin  elle respect les gens ,victim_support,none,no,none,no
42,[2:46:45 PM], <Lucie-Harceleur>, ouais maint tkt on te vois pas derrire tes bourllet,bully,victim,no,denigration,no
43,[2:46:48 PM], <Soan-Soutien-Victime>, Tu as le droit de porter plainte tu sais,victim_support,none,no,none,no
44,[2:46:52 PM], <Marjorie-Harceleur>, beh oui elle est venu nous parler elle cherche la merde cette grosse ,bully,victim,no,name_calling,no
45,[2:46:54 PM], <Soan-Soutien-Victime>, contrairrement a vous salle conne,victim_support,bully/bully_support,no,name_calling,no
46,[2:47:01 PM], <Axelle-Soutien-Victime>, vous prenez des photos des gens sans leurs consentement vous êtes riducule ,victim_support,none,no,none,no
47,[2:47:02 PM], <Marjorie-Harceleur>, cava bouboule ?,bully,victim,no,name_calling,no
48,[2:47:06 PM], <Natacha-Soutien-Harceleur>, beh ta qua arreter de faire des photos sexy qui sont pas fait pour toi,bully_support,victim,no,blaming,no
49,[2:47:08 PM], <Soan-Soutien-Victime>, et toi ta vu ta gueule,victim_support,bully_support,no,denigration,no
50,[2:47:17 PM], <Lucie-Harceleur>, :') :') :') :') sexyyyy tout le contraire de zoe,bully,victim,no,denigration,no
51,[2:47:45 PM], <Soan-Soutien-Victime>, mongolienne,victim_support,bully,no,name_calling,no
52,[2:47:47 PM], <Marjorie-Harceleur>, oui je lau vu ne tkt pas,bully,none,no,none,no
53,[2:47:55 PM], <Zoé-Victime>, j'ai des seins vous êtes des grosses jalouse vous avez rien vous,victim,none,no,none,no
54,[2:48:16 PM], <Lucie-Harceleur>, ah je croyais que s'etait des bourllets,bully,victim,no,denigration,yes
55,[2:48:19 PM], <Marjorie-Harceleur>, je suis 10 fois mieu foutu que elle bouffonne,bully,victim,no,name_calling,no
56,[2:48:20 PM], <Soan-Soutien-Victime>, mais putin merde a la fin laissé la tranquille elle vous a rien fais,victim_support,none,no,none,no
57,[2:48:39 PM], <Axelle-Soutien-Victime>, vous avez pas de forme vous bande jalouse,victim_support,none,no,none,no
58,[2:48:44 PM], <Zoé-Victime>, c'est toi le bourlet lucie,victim,bully,no,name_calling,no
