,,,role,target,hate_speech,verbal_abuse,humor
[2019-06-13 15:48:59], <Silvia_Victime>, coucou les amis,victim,none,no,none,no
[2019-06-13 15:55:58], <Sophie_Harceleur>, cc,bully,none,no,none,no
[2019-06-13 15:56:37], <Silvia_Victime>, ça va Sohpie?,victim,none,no,none,no
[2019-06-13 15:57:13], <Silvia_Victime>, :),victim,none,no,none,no
[2019-06-13 15:57:37], <Sophie_Harceleur>, mais t'es sérieuse ou quoi??,bully,none,no,none,no
[2019-06-13 15:57:43], <Silvia_Victime>, de?,victim,none,no,none,no
[2019-06-13 15:57:51], <Adrien_soutienh>, ouai srx,bully_support,none,no,none,no
[2019-06-13 15:58:06], <Silvia_Victime>, mais oui sérieux les gars,victim,none,no,none,no
[2019-06-13 15:58:12], <Silvia_Victime>, :),victim,none,no,none,no
[2019-06-13 15:58:29], <Sophie_Harceleur>, mais ptn tu le fais exprès en + ,bully,none,no,none,no
[2019-06-13 15:58:41], <Silvia_Victime>, mais de quoi Sophie?,victim,none,no,none,no
[2019-06-13 15:58:58], <Silvia_Victime>, ???,victim,none,no,none,no
[2019-06-13 15:59:00], <Sophie_Harceleur>, MAIS bordel!,bully,none,no,none,no
[2019-06-13 15:59:13], <Silvia_Victime>, qu'est ce qu'il t'arrive Sophie?,victim,none,no,none,no
[2019-06-13 15:59:15], <Silvia_Victime>, :),victim,none,no,none,no
[2019-06-13 15:59:27], <Silvia_Victime>, tu es guérie?,victim,none,no,none,no
[2019-06-13 15:59:34], <Sophie_Harceleur>, t'as embrassé Lucas?,bully,none,no,none,no
[2019-06-13 15:59:36], <Silvia_Victime>, c'est dommage que tu sois pas venue,victim,none,no,none,no
[2019-06-13 15:59:37], <Adrien_soutienh>, ça ce fait pas Silvia,bully_support,none,no,none,no
[2019-06-13 15:59:46], <Silvia_Victime>, on s'est super bien amusé :),victim,none,no,none,no
[2019-06-13 16:00:07], <Herbert_Concilia>, pdt le voyage ?,conciliator,none,no,none,no
[2019-06-13 16:00:12], <Silvia_Victime>, oui ,victim,none,no,none,no
[2019-06-13 16:00:18], <Silvia_Victime>, Dommage que Sophie sois pas venue,victim,none,no,none,no
[2019-06-13 16:00:26], <michel_soutienv>,  yo il se passe quoi la,victim_support,none,no,none,no
[2019-06-13 16:00:26], <Sophie_Harceleur>, mais cte folle elle a embrassé lucas pdt le voyazge,bully,victim,yes,name_calling,no
[2019-06-13 16:00:41], <Silvia_Victime>, qui t'a dit ça?,victim,none,no,none,no
[2019-06-13 16:00:46], <Silvia_Victime>, c'est mm pas vrai,victim,none,no,none,no
[2019-06-13 16:00:51], <Adrien_soutienh>, a ton avis ,bully_support,none,no,none,no
[2019-06-13 16:01:02], <Silvia_Victime>, un menteur?,victim,none,no,none,no
[2019-06-13 16:01:04], <Adrien_soutienh>, je t ai vu en faite ,bully_support,none,no,none,no
[2019-06-13 16:01:16], <Herbert_Concilia>, c'est pas possible...,conciliator,none,no,none,no
[2019-06-13 16:01:17], <Sophie_Harceleur>, en ft t'es une grosse pute c'est ça que je dois comprendre,bully,victim,yes,name_calling,no
[2019-06-13 16:01:18], <Silvia_Victime>, faire quoi?,victim,none,no,none,no
[2019-06-13 16:01:39], <Silvia_Victime>, à vazi dou tu m'insultes?,victim,none,no,none,no
[2019-06-13 16:01:41], <Lisa_soutienH>, en faite tes vraiment une sap*lope silvia,bully_support,victim,yes,name_calling,no
[2019-06-13 16:01:43], <Adrien_soutienh>, embrasser lucas,bully_support,none,no,none,no
[2019-06-13 16:01:52], <Lisa_soutienH>, ta trompé ton mec ,bully_support,none,no,none,no
[2019-06-13 16:01:57], <Silvia_Victime>, Mais d'où je l'ai embrassé?,victim,none,no,none,no
[2019-06-13 16:01:58], <Lisa_soutienH>, ca se fait grave pas,bully_support,none,no,none,no
[2019-06-13 16:02:01], <Silvia_Victime>, Mais ta race toi putain,victim,bully,yes,name_calling,no
[2019-06-13 16:02:09], <Adrien_soutienh>, TU TE CALME,bully_support,none,no,none,no
[2019-06-13 16:02:14], <Lisa_soutienH>, bah tes une salope en faite,bully_support,victim,yes,name_calling,no
[2019-06-13 16:02:16], <Sophie_Harceleur>, MAIS BORDEL SILVIA *,bully,none,no,none,no
[2019-06-13 16:02:18], <michel_soutienv>, sophie calmez vous,victim_support,none,no,none,no
[2019-06-13 16:02:18], <Silvia_Victime>, c'est toi qui insultes abruti va,victim,bully,yes,name_calling,no
[2019-06-13 16:02:24], <Lisa_soutienH>, ecpece d'usine a bite,bully_support,victim,yes,name_calling,no
[2019-06-13 16:02:30], <Lisa_soutienH>, tes une autoroute ,bully_support,victim,yes,denigration,no
[2019-06-13 16:02:35], <Herbert_Concilia>, Calmez vous ! Il doit y avoir une erreur...,conciliator,none,no,none,no
[2019-06-13 16:02:38], <Lisa_soutienH>, c chiant de payer ,bully_support,none,no,none,no
[2019-06-13 16:02:39], <michel_soutienv>, calmez vous tous,victim_support,none,no,none,no
[2019-06-13 16:02:39], <Silvia_Victime>, mais grosse salope d'où tu me parles?,victim,victim,yes,name_calling,no
[2019-06-13 16:02:50], <Adrien_soutienh>, T EXCITE PAS,bully_support,none,no,none,no
[2019-06-13 16:02:52], <michel_soutienv>, deux secondes silvia elle ferait pas ca,victim_support,none,no,none,no
[2019-06-13 16:02:57], <Herbert_Concilia>, Adrien t'as dû mal voir....,conciliator,none,no,none,no
[2019-06-13 16:03:01], <Silvia_Victime>, Tu pues la merde ,victim,bully,yes,denigration,no
[2019-06-13 16:03:06], <michel_soutienv>, et sijnon licas il veurt peut etre casser avec toiu,victim_support,none,no,none,no
[2019-06-13 16:03:15], <Sophie_Harceleur>, mais bordel tg herbert tu vois pas je lui parle,bully,conciliator,yes,name_calling,no
[2019-06-13 16:03:16], <Silvia_Victime>, Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,victim,none,no,none,no
[2019-06-13 16:03:18], <Lisa_soutienH>, ah ouais bah faites gaffe a lisa pk c'est un tunnel,bully_support,none,yes,denigration,no
[2019-06-13 16:03:21], <michel_soutienv>, genre il va te le dire,victim_support,none,no,none,no
[2019-06-13 16:03:29], <Silvia_Victime>, Mais arrête de mytho stp,victim,none,no,none,no
[2019-06-13 16:03:33], <Lisa_soutienH>, pour de vrai c'est une salope ,bully_support,victim,yes,name_calling,no
[2019-06-13 16:03:34], <Silvia_Victime>, tu mfais dla peine,victim,none,no,none,no
[2019-06-13 16:03:39], <Silvia_Victime>, tg toi,victim,bully_support,yes,name_calling,no
[2019-06-13 16:03:40], <Sophie_Harceleur>, tu veux que je t'explose ta gueule ou quoi?,bully,none,no,threat,no
[2019-06-13 16:03:47], <Silvia_Victime>, Mais ferme ta gueule,victim,bully,yes,name_calling,no
[2019-06-13 16:03:48], <Lisa_soutienH>, vasi essaie ,bully_support,none,no,none,no
[2019-06-13 16:03:48], <Herbert_Concilia>, Eh on se calme,conciliator,none,no,none,no
[2019-06-13 16:03:53], <michel_soutienv>, putain mais calmez vous,victim_support,none,no,none,no
[2019-06-13 16:03:56], <Lisa_soutienH>, jen profiterai pour te baiser,bully_support,none,no,none,no
[2019-06-13 16:03:58], <michel_soutienv>, ca va pas ou quoi,victim_support,none,no,none,no
[2019-06-13 16:04:03], <Sophie_Harceleur>, t'es plate comme une planche de surf et tu fais la foplle avec mloi,bully,victim,yes,denigration,no
[2019-06-13 16:04:03], <Lisa_soutienH>, mais jai peur le l'erpece,bully_support,none,no,none,no
[2019-06-13 16:04:05], <Silvia_Victime>, Ah en plkus t'es lesbienne?,victim,none,no,none,no
[2019-06-13 16:04:16], <Lisa_soutienH>, oui t homophobe ?,bully_support,none,no,none,no
[2019-06-13 16:04:29], <Adrien_soutienh>, Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas,bully_support,victim,yes,denigration,no
[2019-06-13 16:04:32], <Silvia_Victime>, j'ai juste un pblm avec les putes de ton espèce et les mythos,bully,bully,yes,name_calling,no
[2019-06-13 16:04:32], <Lisa_soutienH>, t une salope et t homophobe ???,bully_support,victim,yes,name_calling,no
[2019-06-13 16:04:35], <michel_soutienv>, sophie tetais pas la pendant genre une semaine tu reviens pour foutre la merde,victim_support,none,no,none,no
[2019-06-13 16:04:40], <Sophie_Harceleur>, la vie de ma mère parle pas comme ça à Lisa ,bully,none,no,none,no
[2019-06-13 16:04:45], <Silvia_Victime>, On vit sur la côte d'Azur espèce de teubé,victim,bully,yes,name_calling,no
[2019-06-13 16:04:53], <Silvia_Victime>, tu t cru à st denis ou quoi?,victim,none,no,none,no
[2019-06-13 16:05:07], <Adrien_soutienh>, non toi  sur les trottoir,bully_support,none,no,none,no
[2019-06-13 16:05:09], <Lisa_soutienH>, silvia franchement ca se fait pas ce que ta fait,bully_support,none,no,blaming,no
[2019-06-13 16:05:11], <Silvia_Victime>, La vie de ma mère ferme bien ta gueule au lieu d'écarter les cuisses,victim,bully,yes,denigration,no
[2019-06-13 16:05:14], <michel_soutienv>,  mais calmez vous ,victim_support,none,no,none,no
[2019-06-13 16:05:28], <michel_soutienv>, merde parle a lucas avant de hurler sur silvia$,victim_support,none,no,none,no
[2019-06-13 16:05:33], <Sophie_Harceleur>, mais silvia t'es vraiment une grosse sous race en ft,bully,victim,yes,name_calling,no
[2019-06-13 16:05:36], <Herbert_Concilia>, On sait tous que Lucas aime que Sophie....,conciliator,none,no,none,no
[2019-06-13 16:05:44], <Lisa_soutienH>,  bah ecartons les cuisses enseble ! ta l'air d'aimer ca,bully_support,none,no,none,no
[2019-06-13 16:05:45], <Silvia_Victime>, J'ai rien fait,victim,none,no,none,no
[2019-06-13 16:05:47], <michel_soutienv>, herbert ta gueule stp,victim_support,conciliator,yes,name_calling,no
[2019-06-13 16:05:51], <michel_soutienv>, deux secondes,victim_support,none,no,none,no
[2019-06-13 16:05:51], <Sophie_Harceleur>, mais michel ptn ya rien à savoir de plus,bully,none,no,none,no
[2019-06-13 16:05:53], <Silvia_Victime>, il mytho de ouf pcq il veut se taper sSophie,victim,none,no,none,no
[2019-06-13 16:06:11], <Silvia_Victime>, pas vrai Adrien,victim,none,no,none,no
[2019-06-13 16:06:13], <Adrien_soutienh>, et toi lucas,victim_support,none,no,none,no
[2019-06-13 16:06:26], <Silvia_Victime>, mais Lucas il pue la merde sérieux,victim,none,yes,name_calling,no
[2019-06-13 16:06:32], <Silvia_Victime>, c'est quoi cet acharnement,victim,none,no,none,no
[2019-06-13 16:06:36], <Herbert_Concilia>, Mais c'est vrai ! Y a pas de raison qu'il la trompe,conciliator,none,no,none,no
[2019-06-13 16:06:38], <Silvia_Victime>, keske je tai fait,victim,none,no,none,no
[2019-06-13 16:06:44], <Adrien_soutienh>, c est la vérite ,bully_support,none,no,none,no
[2019-06-13 16:06:58], <Silvia_Victime>, mais arrête ton mytho deux secondes,victim,none,no,none,no
[2019-06-13 16:07:03], <Lisa_soutienH>, en faite cherchez pas silvia elle veux SE FAIRE BAISER PAR TT LE MONDE,bully_support,victim,yes,denigration,no
[2019-06-13 16:07:10], <michel_soutienv>, il le saurait si il avait embrasse qqun nan,victim_support,none,no,none,no
