,Unnamed: 0,Unnamed: 1,text,role,target,hate_speech,verbal_abuse,humor
0,[11:34:40], <Pierre-Soutien-Harceleur>, ça lui fera de l'argent pour une fois qu'elle en aura,bully_support,none,no,none,no
1,[11:34:47], <Fatima-Victime>, bande de jaloux,victim,none,no,none,no
2,[11:34:52], <Nicolas-Soutien-Harceleur>, tu montre ton cu tassume,bully_support,victim,no,blaming,no
3,[11:34:54], <Teresa-Soutien-Victime>, bh elle va aller porter plaintet vous,victim_support,none,no,none,no
4,[11:34:55], <Fatima-Victime>, tkt jai pas besoin de ton argent,victim,none,no,none,no
5,[11:34:58], <Pierre-Soutien-Harceleur>, c'est pas dans son pays qu'elle en aura :') :'),bully_support,victim,yes,denigration,yes
6,[11:34:59], <Pauline-Harceleur>, c dieu qui donne mon bebew,bully,none,no,none,no
7,[11:35:09], <Pierre-Soutien-Harceleur>, elle ira pas porter plainte,bully_support,none,no,none,no
8,[11:35:16], <Fatima-Victime>, cmt tu sais ?,victim,none,no,none,no
9,[11:35:17], <Nicolas-Soutien-Harceleur>, ben va porter plaint,bully_support,none,no,none,no
10,[11:35:17], <Teresa-Soutien-Victime>, exactement,victim_support,none,no,none,no
11,[11:35:22], <Nicolas-Soutien-Harceleur>, on verra a la sorti,bully_support,none,no,threat,no
12,[11:35:26], <Teresa-Soutien-Victime>, mdr,victim_support,none,no,none,no
13,[11:35:27], <Nicolas-Soutien-Harceleur>, kestu crois,bully_support,none,no,none,no
14,[11:35:28], <Teresa-Soutien-Victime>, lol,victim_support,none,no,none,no
15,[11:35:30], <Pierre-Soutien-Harceleur>, tkt je l'attendrais devant chez elle,bully_support,victim,no,threat,no
16,[11:35:34], <Teresa-Soutien-Victime>, tu vas faire quoi,victim_support,none,no,none,no
17,[11:35:37], <Théo-Conciliateur>, y aura rien a la sorti,conciliator,none,no,none,no
18,[11:35:46], <Pierre-Soutien-Harceleur>, je vais bien continuier avce pauline pour diffuser,bully_support,none,no,none,no
19,[11:35:46], <Nicolas-Soutien-Harceleur>, interogatoir 2 heures et glaces a la plages apres,bully_support,none,no,none,no
20,[11:35:47], <Fatima-Victime>, ils saven que parlé,victim,none,no,none,no
21,[11:35:47], <Pauline-Harceleur>, theo on va te meler aussi,bully,none,no,none,no
22,[11:35:53], <Pierre-Soutien-Harceleur>, on va venir à plusieurs,bully_support,none,no,threat,no
23,[11:35:54], <Fatima-Victime>, derrière leur ecran la,victim,none,no,none,no
24,[11:35:57], <Nicolas-Soutien-Harceleur>, et ta guele part terre ensuite,bully_support,victim,no,threat,no
25,[11:35:57], <Teresa-Soutien-Victime>, tkktt on t'attendra a 2 on te ntm,victim_support,bully_support,no,threat,no
26,[11:36:13], <Pierre-Soutien-Harceleur>, tkt pas en face je vais te montrer mon petit bijoux,bully_support,victim_support,no,threat,no
27,[11:36:16], <Pauline-Harceleur>, tu nique personne,bully,none,no,none,no
28,[11:36:20], <Teresa-Soutien-Victime>, tu crois on a peur de toi t degun redesend,victim_support,bully_support,no,denigration,no
29,[11:36:28], <Pauline-Harceleur>, mere teresa tg,bully,victim_support,no,aggression-other,no
30,[11:36:28], <Pierre-Soutien-Harceleur>, avec d'autres qui n'aiment pas les arabes comme toi,bully_support,victim,yes,denigration,no
31,[11:36:34], <Nicolas-Soutien-Harceleur>, tu nike ta mere plutot et encore,bully_support,victim_support,no,aggression-other,no
32,[11:36:35], <Fatima-Victime>, il est tlmt ptit qu on verra rien tkt terasa,victim,victim_support,no,denigration,no
33,[11:36:42], <Nicolas-Soutien-Harceleur>, si quelqu un te veux,bully_support,none,no,none,no
34,[11:36:46], <Théo-Conciliateur>, bon euh vs avez fini de parler pour rien ?,conciliator,none,no,none,no
35,[11:36:49], <Pierre-Soutien-Harceleur>, ooooh theresa tu me chauffes tu veux le meme sort?,bully_support,victim_support,no,threat,no
36,[11:37:06], <Nicolas-Soutien-Harceleur>, ta 12 ans tu fait la grande ta pote et a pooile sur la plage et se plaint apres,bully_support,victim_support,no,blaming,no
37,[11:37:13], <Pierre-Soutien-Harceleur>, theo arrete de defendre vrm on dirait que t'es pas francais,bully_support,conciliator,yes,denigration,no
38,[11:37:13], <Pauline-Harceleur>, appelez carla elle va faire la sorcellerie jai des contacts,bully,none,no,none,no
39,[11:37:17], <Fatima-Victime>, mai a poil de koi,victim,none,no,none,no
40,[11:37:19], <Teresa-Soutien-Victime>, mais oui il fait le beau parceque t'es une gadjis mais devant un mec il ferra rien,victim_support,conciliator,no,denigration,no
41,[11:37:34], <Pauline-Harceleur>, tg toi,bully,victim_support,no,aggression-other,no
42,[11:37:36], <Fatima-Victime>, la pauline on voyait son cul et elle vient m harceler apres la,victim,none,no,none,no
43,[11:37:40], <Nicolas-Soutien-Harceleur>, apel plutot anaé,bully_support,none,no,none,no
44,[11:37:51], <Pauline-Harceleur>, j'en ai un moi au moins,bully,none,no,denigration,no
45,[11:37:54], <Pierre-Soutien-Harceleur>, en attendant elle elle avait le droit,bully_support,none,no,none,no
46,[11:37:55], <Nicolas-Soutien-Harceleur>, ily aura que elle qui va te repondre mdr,bully_support,none,no,none,yes
47,[11:38:00], <Teresa-Soutien-Victime>, oe ta raison c la plus grosse des pute,victim_support,bully,no,name_calling,no
48,[11:38:02], <Pierre-Soutien-Harceleur>, parce qu'elle elle est dans son pays,bully_support,bully,yes,denigration,no
49,[11:38:07], <Teresa-Soutien-Victime>, hein pauline,victim_support,bully,no,none,no
50,[11:38:18], <Pauline-Harceleur>, teresa ftg va a l'eglise,bully,victim_support,no,aggression-other,no
51,[11:38:27], <Fatima-Victime>, ba va y on y va ensemble,victim,none,no,none,no
52,[11:38:30], <Pierre-Soutien-Harceleur>, ça t'éduqueras un peu,bully_support,none,no,none,no
53,[11:38:34], <Teresa-Soutien-Victime>, tu devrais faire pareil,victim_support,none,no,none,no
54,[11:38:34], <Fatima-Victime>, j sui sur t es jamais allé a leglise hypocrite,victim,none,no,none,no
55,[11:38:44], <Nicolas-Soutien-Harceleur>, on te brule toi a leglise,bully_support,victim,no,aggression-other,no
56,[11:38:46], <Théo-Conciliateur>," mais vs en avez pas marre, vs voulez pas vs re parler et mettre les choses a plat ?",conciliator,none,no,none,no
57,[11:38:47], <Teresa-Soutien-Victime>, oe grave tu parles,victim_support,none,no,none,no
58,[11:38:54], <Pauline-Harceleur>, theo tu sers a rien,bully,conciliator,no,denigration,no
59,[11:38:58], <Pierre-Soutien-Harceleur>, fatima arrete la mascarade on sait que toi t'es un autre delire toi tu fais la manche devant frr,bully_support,victim,no,denigration,no
60,[11:39:19], <Fatima-Victime>, j prefere faire la manche que la pute comme ta mere,victim,bully_support,no,aggression-other,no
61,[11:39:21], <Teresa-Soutien-Victime>, c a eux d'arreter d'harceler les gens,victim_support,none,no,none,no
62,[11:39:26], <Théo-Conciliateur>, si je sert a regler vos problemes de merde,conciliator,none,no,none,no
63,[11:39:29], <Nicolas-Soutien-Harceleur>, la prochaine fois tu mettra un voile comme t es parents au lieu de nous faire cvhier,bully_support,victim,yes,aggression-other,no
64,[11:39:47], <Pierre-Soutien-Harceleur>, fatima arrete de faire la folle tu vas vrm le payer,bully_support,victim,no,threat,no
65,[11:39:54], <Nicolas-Soutien-Harceleur>, sa sort des cour sa mes le voile mais a la plage sa montre son cu ptdrrrrrr,bully_support,none,no,none,yes
