ID,TIME,NAME,TEXT,ROLE,TARGET,HATE_SPEECH,VERBAL_ABUSE,HUMOR
0,[2:41:37 PM], <Adrien-Harceleur>, WESH silvia pk tu vien et tu fou la merde dans les couple,bully,none,no,none,no
1,[2:42:10 PM], <Théo-Soutien-Harceleur>, grave tu viens et tu pécho d'autre gars ,bully_support,none,no,none,no
2,[2:42:12 PM], <Silvia-Victime>, tu parle de quoi c'est lucas qui a foutu la merde,victim,none,no,none,no
3,[2:42:56 PM], <Théo-Soutien-Harceleur>, vas y t'es tellement une pute que tu irai draguer meme les mecs de tes copines,bully_support,victim,no,denigration,no
4,[2:43:34 PM], <Silvia-Victime>, nan mais les gars calmez vous quoi si lucas c'est lui la pute j'y peu rien,victim,none,no,denigration,no
5,[2:44:40 PM], <Théo-Soutien-Harceleur>, Lucas c'est mon meilleur je le connais tu lui a promis des nudes c'est pour ca quil ta embrassé il sortirait jamais avec une serbe et moche en plus,bully_support,none,yes,denigration,no
6,[2:45:34 PM], <Silvia-Victime>, Lucas il ma di qu'il voulait pas rester avecc sophie ,victim,none,no,none,no
7,[2:45:51 PM], <Théo-Soutien-Harceleur>, mon cul:@ ,bully_support,none,no,none,no
8,[2:46:06 PM], <Camille-Soutien-Harceleur>, aller niquez vos mere,bully_support,none,no,aggression-other,no
9,[2:46:15 PM], <Soan-Soutien-Victime>, toi nike ta mere sallle pute,victim_support,bully_support,no,aggression-other,no
10,[2:46:33 PM], <Adrien-Harceleur>, lucas etait en couple et toi tu est tjr la tu fou la merde en plus tu savai,bully,none,no,none,no
11,[2:46:50 PM], <Soan-Soutien-Victime>, laisser silivia tranquille avant je vous encule bande de cave,victim_support,bully/bully_support,no,threat,no
12,[2:47:05 PM], <Camille-Soutien-Harceleur>, sa ser a rien de le défendre t qune pute assumee suceuse,bully_support,victim,no,denigration,no
13,[2:47:12 PM], <Soan-Soutien-Victime>, et alors lucas il est moche,victim_support,none,no,denigration,no
14,[2:47:20 PM], <Adrien-Harceleur>, tu va rien faire c'est de sa faute ,bully,none,no,none,no
15,[2:47:27 PM], <Soan-Soutien-Victime>, ta mere la reine des salope ,victim_support,bully,no,aggression-other,no
16,[2:47:34 PM], <Silvia-Victime>, lucas jmen balek il a qu'a rester avec sa sophie c'est elle qui est moche,victim,none,no,denigration,no
17,[2:47:42 PM], <Théo-Soutien-Harceleur>, qu'est qu'elle a l'autre rousse? tu défend les putes,bully_support,victim_support,no,denigration,no
18,[2:47:53 PM], <Soan-Soutien-Victime>, piste ta tete endirerb un monstre poto,victim_support,bully_support,no,denigration,no
19,[2:48:02 PM], <Théo-Soutien-Harceleur>, c'est toi la moche sale serbe de mes couilles,bully_support,victim,yes,denigration,no
20,[2:48:21 PM], <Soan-Soutien-Victime>, moi silvia on est les plus belle bande de fdp,victim_support,bully/bully_support,no,name_calling,no
21,[2:48:26 PM], <Théo-Soutien-Harceleur>, va retourner voler des montres,bully_support,victim,yes,denigration,no
22,[2:48:34 PM], <Adrien-Harceleur>, en plus tes la tu vien de serbi,bully,victim,yes,denigration,no
23,[2:48:40 PM], <Soan-Soutien-Victime>, et  elle ten merde niker vos grand mere,victim_support,bully/bully_support,no,aggression-other,no
24,[2:49:06 PM], <Théo-Soutien-Harceleur>, va te faire enculer sale rousse,bully_support,victim_support,no,denigration,no
25,[2:49:08 PM], <Silvia-Victime>," la serbie c'esst le sang,  vous etes jaloux c'est tout",victim,none,no,none,no
26,[2:49:14 PM], <Théo-Soutien-Harceleur>, va sucer tes profs,bully_support,victim,no,aggression-other,no
27,[2:49:17 PM], <Soan-Soutien-Victime>, grave,victim_support,none,no,none,no
28,[2:49:26 PM], <Silvia-Victime>, retournez sucer lucas et sophie,victim,bully/bully_support,yes,name_calling,no
29,[2:49:27 PM], <Soan-Soutien-Victime>, va deterrer tes mort ,victim_support,bully_support,no,aggression-other,no
30,[2:49:48 PM], <Théo-Soutien-Harceleur>, niquez vos mères en Serbie,bully_support,none,yes,aggression-other,no
31,[2:49:50 PM], <Camille-Soutien-Harceleur>, le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,bully_support,victim_support,no,aggression-other,no
32,[2:49:54 PM], <Soan-Soutien-Victime>, bande de sombre pute lucas arrete de faire le beau avec ta petite bite,victim_support,none,no,denigration,no
33,[2:50:12 PM], <Hébert-Conciliateur>, adrien et silvia arreter srx,conciliator,none,no,none,no
34,[2:50:13 PM], <Adrien-Harceleur>, retourne en serbie et il y aura plus de probleme fdp,bully,victim,yes,blaming,no
35,[2:50:30 PM], <Soan-Soutien-Victime>, la victime elle vous baise,victim_support,bully/bully_support,no,aggression-other,no
36,[2:50:42 PM], <Théo-Soutien-Harceleur>, qu'est ce ta helbert?,bully_support,none,no,none,no
37,[2:50:52 PM], <Hébert-Conciliateur>, sa sert a r de se prendre la tete comme des enfants,conciliator,none,no,none,no
38,[2:50:59 PM], <Camille-Soutien-Harceleur>, on arrete rien du tout pk elle assume pas cette salopeee ,bully_support,victim,no,blaming,no
39,[2:51:02 PM], <Soan-Soutien-Victime>, vos tete de sperm,victim_support,bully/bully_support,no,aggression-other,no
40,[2:51:14 PM], <Adrien-Harceleur>, assume ,bully,none,no,none,no
41,[2:51:23 PM], <Soan-Soutien-Victime>, vous puez de la shnek bande de crasseuse,victim_support,bully/bully_support,no,aggression-other,no
42,[2:51:29 PM], <Silvia-Victime>, ouai c'est eux qui m'insultent genre normal alors que leur pote il me drague tranquile,victim,none,no,none,no
